,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,LINK-USD,0.08878588107595964,3.0
1,XTZ-USD,NEAR-USD,0.6115073997403249,4.0
2,ICP-USD,ENJ-USD,14.083340061399348,3.0
3,ETC-USD,CELO-USD,36.176901952145485,3.0
4,ETC-USD,ALGO-USD,158.4829475724527,3.0
5,ETC-USD,DOT-USD,3.900733609246753,6.0
6,ETC-USD,LTC-USD,0.24426793744438097,6.0
7,ETC-USD,UNI-USD,3.6224959747588175,2.0
8,ETC-USD,1INCH-USD,60.8820009283752,2.0
9,ZEC-USD,ATOM-USD,3.7934403875030434,2.0
10,ZEC-USD,BCH-USD,0.11485364505905787,2.0
11,ZEC-USD,CELO-USD,61.270323322897084,1.0
12,ZEC-USD,ENJ-USD,120.799510853191,1.0
13,ZEC-USD,RUNE-USD,13.41511163664779,2.0
14,ZEC-USD,ZRX-USD,145.1777800727114,2.0
15,ZEC-USD,YFI-USD,0.005117644453351301,1.0
16,ZEC-USD,COMP-USD,0.5992551815355612,2.0
17,ZEC-USD,NEAR-USD,24.38650373826241,1.0
18,ZEC-USD,ALGO-USD,268.42607133753256,1.0
19,ZEC-USD,SUSHI-USD,46.025643521841026,2.0
20,ZEC-USD,ADA-USD,104.56980548823445,1.0
21,ZEC-USD,DOT-USD,6.607321130467464,1.0
22,ZEC-USD,CRV-USD,54.6485802100904,3.0
23,ZEC-USD,DOGE-USD,439.9289148597902,1.0
24,ZEC-USD,LTC-USD,0.4137479145528266,1.0
25,ZEC-USD,AAVE-USD,0.40003308499481066,2.0
26,ZEC-USD,UNI-USD,6.1352314713551985,1.0
27,ZEC-USD,1INCH-USD,103.1067566917988,2.0
28,ZEC-USD,ETH-USD,0.01631926126628403,1.0
29,LINK-USD,ENJ-USD,34.113217597469976,3.0
30,LINK-USD,RUNE-USD,3.7876162066612293,5.0
31,LINK-USD,YFI-USD,0.0014451582798431833,3.0
32,MKR-USD,ZRX-USD,7793.97801813889,3.0
33,MKR-USD,ADA-USD,5612.567975830814,5.0
34,MKR-USD,AAVE-USD,21.471571083251618,6.0
35,ATOM-USD,ZRX-USD,38.27163669644484,3.0
36,ATOM-USD,ALGO-USD,70.75385130156228,4.0
37,ATOM-USD,SUSHI-USD,12.132594437463998,3.0
38,ATOM-USD,LTC-USD,0.10904946019473995,9.0
39,CELO-USD,COMP-USD,0.009781521694862001,5.0
40,CELO-USD,NEAR-USD,0.397962633401196,5.0
41,CELO-USD,ALGO-USD,4.380689791809617,3.0
42,CELO-USD,SUSHI-USD,0.7511834390665368,3.0
43,CELO-USD,DOT-USD,0.10781987754722164,6.0
44,CELO-USD,LTC-USD,0.006751777127271616,6.0
45,CELO-USD,UNI-USD,0.10012919164102166,3.0
46,CELO-USD,1INCH-USD,1.6828640159904378,2.0
47,ENJ-USD,YFI-USD,4.236029468487609e-05,4.0
48,ENJ-USD,ETH-USD,0.00013507878977025742,4.0
49,RUNE-USD,YFI-USD,0.00038122516268001227,4.0
50,RUNE-USD,NEAR-USD,1.8164643061655643,5.0
51,RUNE-USD,DOT-USD,0.4921583156322271,5.0
52,FIL-USD,ZRX-USD,5967.672655590101,3.0
53,FIL-USD,COMP-USD,24.73983119646101,3.0
54,FIL-USD,EOS-USD,1912.9708157894888,3.0
55,FIL-USD,NEAR-USD,1001.6872484216002,3.0
56,FIL-USD,ALGO-USD,11082.178267950225,3.0
57,FIL-USD,SUSHI-USD,1897.5029272013544,3.0
58,FIL-USD,ADA-USD,4286.144739181596,3.0
59,FIL-USD,UMA-USD,404.00229369763895,3.0
60,FIL-USD,BTC-USD,0.04024003303208784,3.0
61,FIL-USD,DOT-USD,271.3995898409199,3.0
62,FIL-USD,DOGE-USD,18012.28121065453,3.0
63,FIL-USD,LTC-USD,17.026030594065872,3.0
64,FIL-USD,UNI-USD,254.58601100364456,3.0
65,FIL-USD,1INCH-USD,4284.467912583501,3.0
66,FIL-USD,AVAX-USD,112.3253781285583,3.0
67,FIL-USD,ETH-USD,0.6687850611159266,3.0
68,ZRX-USD,ALGO-USD,1.8486273752217806,3.0
69,ZRX-USD,SUSHI-USD,0.31699790151834795,2.0
70,ZRX-USD,CRV-USD,0.37644543013364157,3.0
71,ZRX-USD,LTC-USD,0.002849170181151659,8.0
72,ZRX-USD,UNI-USD,0.042253513270914964,3.0
73,COMP-USD,NEAR-USD,40.676902241793854,10.0
74,COMP-USD,SUSHI-USD,76.78333700868544,6.0
75,COMP-USD,DOT-USD,11.020024339757573,11.0
76,COMP-USD,DOGE-USD,733.6330546267573,18.0
77,COMP-USD,LTC-USD,0.6900800684667685,15.0
78,COMP-USD,UNI-USD,10.234834569158036,7.0
79,COMP-USD,1INCH-USD,172.02056487398417,4.0
80,NEAR-USD,LTC-USD,0.01696567895345635,4.0
81,ALGO-USD,SUSHI-USD,0.171471565512143,2.0
82,ALGO-USD,DOT-USD,0.024612328688044662,3.0
83,ALGO-USD,LTC-USD,0.0015412714745475834,4.0
84,ALGO-USD,UNI-USD,0.022856180689956887,3.0
85,ALGO-USD,1INCH-USD,0.384130250898063,6.0
86,XMR-USD,AVAX-USD,15.354987324629016,10.0
87,SUSHI-USD,LTC-USD,0.008987932270104177,7.0
88,SUSHI-USD,UNI-USD,0.1332911739162434,3.0
89,SUSHI-USD,1INCH-USD,2.24015545621319,3.0
90,DOT-USD,DOGE-USD,66.57987019203478,4.0
91,DOT-USD,LTC-USD,0.06262020751390444,2.0
92,DOT-USD,UNI-USD,0.9285919578589149,5.0
93,DOT-USD,1INCH-USD,15.605853785927009,10.0
94,DOGE-USD,LTC-USD,0.0009404778929606164,4.0
95,LTC-USD,UNI-USD,14.828504311585458,9.0
96,LTC-USD,1INCH-USD,249.20864981672838,14.0
97,UNI-USD,1INCH-USD,16.806337918531135,3.0
98,MATIC-USD,AVAX-USD,0.05833347966253965,19.0
99,MATIC-USD,ETH-USD,0.0003372864931625874,15.0
